"ID","Amplitude"
1,3.05176e-05
2,0.0
3,-6.10352e-05
4,-9.15527e-05
5,-3.05176e-05
6,3.05176e-05
7,3.05176e-05
8,-3.05176e-05
9,-3.05176e-05
10,0.0
11,0.0
12,0.0
13,-3.05176e-05
14,-3.05176e-05
15,6.10352e-05
16,6.10352e-05
17,3.05176e-05
18,-3.05176e-05
19,-6.10352e-05
20,-3.05176e-05
21,6.10352e-05
22,6.10352e-05
23,0.0
24,3.05176e-05
25,0.0
26,3.05176e-05
27,0.0
28,-6.10352e-05
29,-0.00012207
30,3.05176e-05
31,6.10352e-05
32,9.15527e-05
33,0.0
34,-6.10352e-05
35,-6.10352e-05
36,6.10352e-05
37,0.0
38,6.10352e-05
39,-3.05176e-05
40,-3.05176e-05
41,0.0
42,0.0
43,3.05176e-05
44,0.0
45,-3.05176e-05
46,3.05176e-05
47,3.05176e-05
48,3.05176e-05
49,3.05176e-05
50,-6.10352e-05
51,-6.10352e-05
52,-3.05176e-05
53,0.0
54,0.0
55,-3.05176e-05
56,-3.05176e-05
57,-3.05176e-05
58,-3.05176e-05
59,0.0
60,-3.05176e-05
61,-3.05176e-05
62,3.05176e-05
63,6.10352e-05
64,6.10352e-05
65,-6.10352e-05
66,-6.10352e-05
67,-3.05176e-05
68,6.10352e-05
69,3.05176e-05
70,6.10352e-05
71,3.05176e-05
72,0.0
73,3.05176e-05
74,0.0
75,-3.05176e-05
76,-3.05176e-05
77,0.0
78,6.10352e-05
79,6.10352e-05
80,0.0
81,-9.15527e-05
82,-6.10352e-05
83,0.0
84,6.10352e-05
85,6.10352e-05
86,-3.05176e-05
87,-6.10352e-05
88,0.0
89,3.05176e-05
90,0.0
91,0.0
92,-6.10352e-05
93,6.10352e-05
94,6.10352e-05
95,0.0
96,-6.10352e-05
97,-6.10352e-05
98,-9.15527e-05
99,3.05176e-05
100,9.15527e-05
101,9.15527e-05
102,0.0
103,-6.10352e-05
104,0.0
105,6.10352e-05
106,0.0
107,-6.10352e-05
108,-3.05176e-05
109,-6.10352e-05
110,6.10352e-05
111,9.15527e-05
112,-3.05176e-05
113,-9.15527e-05
114,-6.10352e-05
115,3.05176e-05
116,9.15527e-05
117,3.05176e-05
118,0.0
119,-3.05176e-05
120,0.0
121,3.05176e-05
122,3.05176e-05
123,-3.05176e-05
124,0.0
125,6.10352e-05
126,9.15527e-05
127,6.10352e-05
128,-6.10352e-05
129,-9.15527e-05
130,0.0
131,3.05176e-05
132,6.10352e-05
133,3.05176e-05
134,0.0
135,-3.05176e-05
136,0.0
137,-3.05176e-05
138,-3.05176e-05
139,-3.05176e-05
140,6.10352e-05
141,6.10352e-05
142,6.10352e-05
143,0.0
144,-9.15527e-05
145,-9.15527e-05
146,-3.05176e-05
147,6.10352e-05
148,6.10352e-05
149,3.05176e-05
150,0.0
151,-3.05176e-05
152,3.05176e-05
153,-3.05176e-05
154,-6.10352e-05
155,-3.05176e-05
156,6.10352e-05
157,9.15527e-05
158,6.10352e-05
159,-3.05176e-05
160,-9.15527e-05
161,-6.10352e-05
